station,valid,tmpf,dwpf,drct,sknt,mslp,p01i,vsby,gust,wxcodes,valid_date,valid_hour
EWR,2016-07-10T02:51:00Z,68,67,0,0,1009.1,0,19,NA,NA,2016-07-10,2016-07-10T02:00:00Z
LGA,2023-06-25T05:51:00Z,69,66,60,4,1009.2,0,106,NA,NA,2023-06-25,2023-06-25T05:00:00Z
