YEAR,MONTH,DAY_OF_MONTH,DEP_DELAY,DEP_DELAY_NEW,ARR_DELAY,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY
2015,1,1,-84,0,-107,0,0,0,0,0
2024,12,31,2066,2066,2052,2052,1792,1740,1523,2050
