2015,1,LGA,DL,125
2015,1,LGA,F9,3
2015,1,LGA,MQ,116
2015,1,JFK,MQ,45
2015,1,LGA,UA,41
2015,1,LGA,WN,64
2015,1,LGA,B6,25
2015,1,JFK,US,8
2015,1,EWR,EV,1
2015,1,JFK,UA,9
2015,1,JFK,B6,147
2015,1,JFK,DL,85
2015,1,LGA,AA,74
2015,1,LGA,EV,26
2015,1,LGA,NK,12
2015,1,JFK,AA,82
2015,1,LGA,US,78
2015,2,JFK,US,13
2015,2,JFK,AA,96
2015,2,LGA,B6,22
2015,2,LGA,DL,173
2015,2,LGA,EV,35
2015,2,LGA,F9,4
2015,2,LGA,MQ,126
2015,2,LGA,NK,16
2015,2,LGA,UA,37
2015,2,LGA,US,98
2015,2,LGA,WN,89
2015,2,JFK,B6,159
2015,2,JFK,DL,91
2015,2,JFK,MQ,56
2015,2,JFK,UA,3
2015,2,EWR,EV,1
2015,2,LGA,AA,89
2015,3,LGA,F9,1
2015,3,EWR,EV,3
2015,3,JFK,B6,49
2015,3,JFK,DL,71
2015,3,JFK,UA,5
2015,3,JFK,US,4
2015,3,LGA,B6,13
2015,3,LGA,EV,33
2015,3,LGA,NK,22
2015,3,LGA,UA,19
2015,3,LGA,US,62
2015,3,LGA,DL,68
2015,3,JFK,AA,63
2015,3,JFK,MQ,35
2015,3,LGA,AA,67
2015,3,LGA,MQ,129
2015,3,LGA,WN,72
2015,4,JFK,DL,2
2015,4,JFK,AA,2
2015,4,LGA,DL,3
2015,4,LGA,UA,8
2015,4,JFK,B6,2
2015,4,JFK,UA,2
2015,4,LGA,AA,9
2015,4,LGA,EV,1
2015,4,LGA,F9,3
2015,4,LGA,MQ,2
2015,4,LGA,NK,2
2015,4,LGA,US,3
2015,4,LGA,WN,18
2015,5,JFK,AA,1
2015,5,JFK,B6,1
2015,5,JFK,US,1
2015,5,LGA,EV,22
2015,5,LGA,MQ,2
2015,5,LGA,UA,5
2015,5,LGA,US,6
2015,5,LGA,WN,7
2015,5,JFK,MQ,1
2015,5,LGA,AA,16
2015,5,LGA,DL,3
2015,5,LGA,F9,3
2015,5,LGA,NK,9
2015,6,JFK,MQ,2
2015,6,EWR,EV,1
2015,6,JFK,UA,1
2015,6,LGA,AA,8
2015,6,LGA,B6,1
2015,6,LGA,F9,2
2015,6,LGA,UA,8
2015,6,LGA,VX,1
2015,6,LGA,NK,13
2015,6,JFK,B6,1
2015,6,LGA,DL,3
2015,6,LGA,EV,44
2015,6,LGA,MQ,9
2015,6,LGA,US,2
2015,6,LGA,WN,9
2015,7,LGA,AA,6
2015,7,LGA,DL,2
2015,7,LGA,EV,32
2015,7,JFK,AA,3
2015,7,LGA,UA,4
2015,7,JFK,B6,5
2015,7,JFK,MQ,2
2015,7,JFK,UA,1
2015,7,LGA,NK,4
2015,8,JFK,AA,3
2015,8,JFK,B6,4
2015,8,LGA,AA,6
2015,8,LGA,UA,2
2015,8,LGA,WN,1
2015,8,LGA,EV,7
2015,8,LGA,F9,1
2015,8,LGA,MQ,3
2015,8,LGA,NK,3
2015,9,JFK,MQ,1
2015,9,LGA,EV,2
