JFK,B6,9218
LGA,YX,8492
LGA,AA,7822
LGA,9E,7256
JFK,9E,4813
LGA,DL,4385
LGA,WN,4194
JFK,DL,3760
JFK,AA,3174
LGA,EV,2777
LGA,MQ,2729
LGA,B6,2409
JFK,YX,2341
LGA,UA,1753
LGA,NK,1530
JFK,MQ,1093
LGA,OO,967
EWR,EV,672
LGA,US,541
JFK,AS,523
EWR,YX,503
LGA,F9,465
JFK,OO,399
LGA,YV,381
LGA,OH,366
JFK,VX,148
EWR,UA,105
JFK,UA,69
LGA,VX,56
JFK,US,48
JFK,OH,38
JFK,HA,14
JFK,F9,10
EWR,AA,4
